City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
287,Wollongong,AU,-34.4333,150.8833,77.99,59,34,13.69,scattered clouds
288,Shiyan,CN,32.6475,110.7781,68.23,57,8,3.94,clear sky
289,Monte Carmelo,BR,-18.7247,-47.4986,67.41,75,20,4.32,few clouds
290,Leeton,AU,-34.5667,146.4,81.9,37,100,13.06,overcast clouds
291,Ayia Galini,GR,35.1,24.6833,61.39,71,0,7.56,clear sky
292,Acarau,BR,-2.8856,-40.12,77.86,80,99,11.43,overcast clouds
293,Igarka,RU,67.4667,86.5833,-2.31,98,98,6.02,overcast clouds
294,Vieste,IT,41.8825,16.175,61.93,73,100,3.36,overcast clouds
295,Bundibugyo,UG,0.7414,30.0417,65.86,97,100,2.19,overcast clouds
296,Domoni,KM,-12.2569,44.5319,76.12,85,34,7.87,scattered clouds
297,Gusau,NG,12.1628,6.6614,73.36,28,22,6.33,few clouds
298,Weilmunster,DE,50.4333,8.3667,49.23,94,2,5.35,clear sky
299,Whitefish,US,48.4111,-114.3376,22.05,87,100,0.0,overcast clouds
300,Westport,US,41.1415,-73.3579,51.62,74,0,11.5,clear sky
301,Santa Cruz,BO,-17.8,-63.1667,78.26,69,89,5.75,overcast clouds
302,Socorro,US,31.6546,-106.3033,71.31,24,0,12.75,clear sky
303,Muisne,EC,0.6,-80.0333,73.2,82,100,8.43,overcast clouds
304,Bestobe,KZ,52.4994,73.0975,28.11,87,100,17.54,overcast clouds
305,Boddam,GB,57.4667,-1.7833,52.48,86,100,26.15,overcast clouds
306,Lagoa,PT,39.05,-27.9833,67.87,86,90,25.72,overcast clouds
307,Dunmore East,IE,52.1514,-6.9861,56.68,81,82,26.57,broken clouds
308,Fort Nelson,CA,58.8053,-122.7002,0.95,92,7,2.19,clear sky
309,Praia,CV,14.9215,-23.5087,75.74,78,75,12.66,broken clouds
310,Half Moon Bay,US,37.4636,-122.4286,54.63,81,0,10.36,clear sky
311,Gemena,CD,3.25,19.7667,69.58,99,100,2.08,overcast clouds
312,Kupang,ID,-10.1667,123.5833,88.38,79,75,5.75,broken clouds
313,Beloha,MG,-25.1667,45.05,73.31,81,1,2.26,clear sky
314,Dunda,TZ,-8.1167,34.25,64.85,80,99,2.19,overcast clouds
315,Samarai,PG,-10.6167,150.6667,83.84,61,12,12.97,few clouds
316,Mongu,ZM,-15.2484,23.1274,68.29,85,100,5.75,overcast clouds
317,Novaya Ladoga,RU,60.1025,32.3019,46.26,94,100,11.56,overcast clouds
318,College,US,64.8569,-147.8028,17.08,89,75,0.0,broken clouds
319,Dali,CN,25.7,100.1833,61.79,52,2,3.13,clear sky
320,Winnipeg,CA,49.8844,-97.147,21.02,77,100,15.99,overcast clouds
321,Hambantota,LK,6.1241,81.1185,77.34,100,75,2.3,light rain
322,Umm Lajj,SA,25.0213,37.2685,71.92,61,0,9.1,clear sky
323,Kirsanov,RU,52.6549,42.7224,40.69,90,100,9.64,overcast clouds
324,Kandi,BJ,11.1342,2.9386,73.9,36,1,1.9,clear sky
325,Akyab,MM,20.15,92.9,78.4,61,33,5.5,scattered clouds
326,Sangar,RU,63.9242,127.4739,-5.37,91,100,8.77,overcast clouds
327,Cuamba,MZ,-14.8031,36.5372,72.39,50,73,4.61,broken clouds
328,Thomaston,US,32.8882,-84.3266,61.09,61,99,3.0,overcast clouds
329,Birin,NP,26.8865,88.0718,60.42,72,3,2.73,clear sky
330,Saint-Francois,FR,46.4154,3.9054,47.64,100,100,2.3,fog
331,Tual,ID,-5.6667,132.75,83.35,73,100,4.18,overcast clouds
332,Zhigansk,RU,66.7697,123.3711,-5.39,96,100,13.27,overcast clouds
333,Kimbe,PG,-5.5502,150.1429,83.82,79,79,3.83,moderate rain
334,Viedma,AR,-40.8135,-62.9967,67.28,48,100,10.0,overcast clouds
335,Alta,NO,69.9689,23.2717,29.46,85,100,4.61,overcast clouds
336,Totolapan,MX,18.5167,-96.1833,71.62,91,2,3.36,light rain
337,Dehloran,IR,32.6941,47.2679,69.37,64,100,7.49,overcast clouds
338,Altay,CN,47.8667,88.1167,22.82,49,86,2.89,overcast clouds
339,Faanui,PF,-16.4833,-151.75,79.39,77,99,14.88,light rain
340,Kabalo,CD,-6.05,26.9167,66.34,98,99,1.77,overcast clouds
341,Sechura,PE,-5.5569,-80.8222,63.59,82,78,12.5,broken clouds
342,Morros,BR,-9.4467,-46.3003,75.07,77,78,3.09,broken clouds
343,Hualmay,PE,-11.0964,-77.6139,63.23,85,11,7.72,few clouds
344,Veydelevka,RU,50.1521,38.4492,36.25,89,55,5.61,broken clouds
345,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,75,16.11,broken clouds
